product_id,name,category,price,stock_quantity
1,Economic,Home & Kitchen,678.01,436
2,Miss,Books,980.14,879
3,Pay,Toys,147.35,222
4,Power,Electronics,125.85,835
5,System,Books,338.71,190
6,Hospital,Books,571.73,432
7,Act,Home & Kitchen,692.44,813
8,Trial,Toys,628.22,299
9,Half,Toys,599.33,596
10,Late,Electronics,400.98,449
11,Want,Clothing,766.16,101
12,Process,Toys,337.04,621
13,Safe,Electronics,347.64,480
14,Reflect,Books,500.43,671
15,Spend,Clothing,446.74,755
16,Goal,Home & Kitchen,634.35,210
17,Loss,Books,986.34,643
18,Lay,Sports,562.28,651
19,Community,Electronics,826.49,121
20,Do,Electronics,761.49,213
21,Citizen,Books,646.03,787
22,Property,Electronics,931.86,969
23,Stand,Home & Kitchen,381.71,744
24,Many,Toys,566.59,858
25,Tv,Books,987.33,469
26,Service,Electronics,886.66,394
27,Professional,Electronics,912.19,648
28,Player,Clothing,601.88,504
29,Population,Clothing,384.42,222
30,All,Toys,308.84,171
31,Collection,Books,490.94,327
32,Rock,Clothing,408.07,873
33,Answer,Toys,723.48,523
34,Daughter,Sports,235.23,548
35,Pull,Home & Kitchen,335.65,140
36,Relationship,Toys,400.63,944
37,Ability,Clothing,359.3,260
38,Would,Clothing,46.71,267
39,Myself,Books,71.42,335
40,Western,Electronics,843.93,541
41,History,Sports,487.24,961
42,Term,Electronics,957.31,861
43,Range,Clothing,456.29,847
44,Figure,Clothing,124.38,216
45,Meet,Sports,393.56,508
46,Simple,Books,161.52,769
47,Light,Toys,241.47,148
48,Court,Clothing,352.92,907
49,Meeting,Toys,369.76,613
50,Attorney,Toys,810.46,271
51,Middle,Toys,657.84,709
52,South,Home & Kitchen,237.14,245
53,Use,Toys,680.81,109
54,Material,Toys,575.28,539
55,Voice,Books,976.91,718
56,Trial,Toys,123.54,1
57,Quality,Sports,119.37,490
58,Investment,Toys,138.67,74
59,Social,Toys,660.72,151
60,Order,Clothing,244.79,643
61,Person,Toys,965.74,84
62,Fight,Toys,191.98,699
63,Baby,Clothing,374.43,629
64,Painting,Toys,275.46,199
65,Audience,Electronics,725.51,315
66,Down,Books,382.57,761
67,Enough,Clothing,54.02,364
68,Amount,Toys,42.75,666
69,Respond,Electronics,535.74,21
70,Summer,Books,426.03,110
71,Street,Toys,735.48,775
72,Billion,Toys,15.22,707
73,Local,Electronics,584.33,343
74,Computer,Electronics,146.06,726
75,Baby,Electronics,476.94,766
76,Score,Clothing,287.75,602
77,That,Home & Kitchen,850.66,367
78,Past,Toys,553.75,137
79,Opportunity,Home & Kitchen,813.22,831
80,Thought,Home & Kitchen,546.52,223
81,Trade,Home & Kitchen,583.86,679
82,Movie,Electronics,450.01,960
83,On,Sports,33.92,617
84,Raise,Electronics,296.3,588
85,Student,Sports,775.14,773
86,Factor,Toys,821.81,194
87,Best,Toys,477.69,284
88,Government,Books,206.58,162
89,Significant,Sports,267.49,614
90,Top,Electronics,256.36,717
91,Service,Books,59.73,748
92,Air,Toys,612.3,302
93,Board,Clothing,697.16,585
94,Drop,Electronics,685.98,884
95,Might,Books,906.17,688
96,Ten,Electronics,316.38,159
97,Yet,Sports,104.83,528
98,Success,Electronics,859.84,379
99,Result,Home & Kitchen,566.27,526
100,Their,Books,786.17,48
101,Task,Toys,138.06,753
102,Big,Toys,69.61,424
103,Speech,Sports,344.93,245
104,Like,Books,930.62,239
